Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Schottky,D_SMA,3.74,10.97,-90.0,top
J9,Micro_SD_TF_PUSH,TF-Push,75.0,9.9,90.0,top
R1,10K,R_0603_1608Metric,8.38,48.59,180.0,top
R2,10K,R_0603_1608Metric,8.38,47.04,180.0,top
